,index,job title,company name,Python," R,",Excel,Java,Scala,Matlab,SAS,SQL,SPSS,Tableau,Power BI,Machine Learning,Modeling,Deep learning,Data mining,NLP,Neural Networks,Visualization,Big data,Hadoop,Hive,Azure,Mathematics,Statistics,AWS cloud,Presentation,Problem solving,Collaboration,Project management
888,https://ca.linkedin.com/jobs/view/data-scientist-at-cn-2294789187?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,CN,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
889,https://ca.linkedin.com/jobs/view/data-scientist-at-adgear-2316795765?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,AdGear,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
890,https://ca.linkedin.com/jobs/view/data-scientist-at-gannett-usa-today-network-2300321830?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Gannett | USA TODAY NETWORK,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
891,https://ca.linkedin.com/jobs/view/data-scientist-at-oracle-2315875503?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Oracle,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
892,https://ca.linkedin.com/jobs/view/data-scientist-scientifique-des-donn%C3%A9es-at-data-sciences-2307299009?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist / Scientifique des données,Data Sciences,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
893,https://ca.linkedin.com/jobs/view/scientifique-des-donn%C3%A9es-et-appliqu%C3%A9-data-applied-scientist-at-microsoft-2264267307?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Scientifique des données et appliqué/ Data & Applied Scientist,Microsoft,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
894,https://ca.linkedin.com/jobs/view/data-scientist-people-analytics-at-restaurant-brands-international-2322101693?refId=a5e12067-a94a-4826-ac04-d3e809606e01&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Data Scientist, People Analytics",Restaurant Brands International,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
895,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-kinaxis-2323437592?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Kinaxis,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
896,https://ca.linkedin.com/jobs/view/philanthropy-researcher-and-database-specialist-at-royal-bc-museum-corporation-2323240707?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Philanthropy Researcher and Database Specialist,Not found,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
897,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-ideal-group-2321844244?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Ideal Group,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,https://ca.linkedin.com/jobs/view/data-scientist-ii-at-td-2307242550?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist II,TD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
899,https://ca.linkedin.com/jobs/view/data-scientist-at-tc-transcontinental-2251500242?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,TC Transcontinental,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
900,https://ca.linkedin.com/jobs/view/data-scientist-at-kabam-2307223700?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Kabam,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
901,https://ca.linkedin.com/jobs/view/senior-data-scientist-at-microsoft-2241511652?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Senior Data Scientist,Microsoft,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0
902,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-paytm-labs-2238506827?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Paytm Labs,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
903,https://ca.linkedin.com/jobs/view/data-scientist-at-just-energy-2231841953?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Just Energy,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
904,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-workday-2295907956?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Workday,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
